#coronavirus,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
impose, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
prepare, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
action., p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
mayors, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
racist, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
costs, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
order, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
vegetarianism, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
live, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
foreign, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
hoax,, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
fighting, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
thanks, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
risk,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
things, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
month, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
politicians, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
took, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
haven't, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
qatar,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
system, p_yes: 0.0001519729397886222, p_no: 0.0014115145797840135, c_yes: 1, c_no: 4
sick, p_yes: 0.001355718997520283, p_no: 0.001059515931458823, c_yes: 9, c_no: 3
?, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
3, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
doctors, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
dereliction, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
tweet, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
|, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
putting, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
test., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
research., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
students, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
mass, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
“we, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
financial, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
#corona, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
claims, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
is., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
safe., p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
full, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
contain, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
research, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
finding, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
such, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
wanted, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
ppl, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
measures, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
these, p_yes: 0.0012052507403038256, p_no: 0.0007075172831336327, c_yes: 8, c_no: 2
nation., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
1st, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
help, p_yes: 0.0016566555119531983, p_no: 0.0014115145797840135, c_yes: 11, c_no: 4
spreading, p_yes: 0.0010547824830873678, p_no: 3.519986483251904e-06, c_yes: 7, c_no: 0
money, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
contact, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
medical, p_yes: 0.0015061872547367408, p_no: 0.001059515931458823, c_yes: 10, c_no: 3
politics, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
symptoms, p_yes: 0.0012052507403038256, p_no: 3.519986483251904e-06, c_yes: 8, c_no: 0
else, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
fun, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
north, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
last, p_yes: 0.0012052507403038256, p_no: 0.00035551863480844234, c_yes: 8, c_no: 1
every, p_yes: 0.0009043142258709102, p_no: 0.001763513228109204, c_yes: 6, c_no: 5
trump?, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
denied, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
and, p_yes: 0.023925957579988923, p_no: 0.023939428072596202, c_yes: 159, c_no: 68
16, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
black, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
handle, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
organization, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
kids, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
end, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
workers, p_yes: 0.0010547824830873678, p_no: 0.001059515931458823, c_yes: 7, c_no: 3
retweet, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
!, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
trump's, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
trading, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
lack, p_yes: 0.0007538459686544526, p_no: 0.00035551863480844234, c_yes: 5, c_no: 1
combat, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
albums, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
@realdonaldtrump., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
italy, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
job, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
two, p_yes: 0.0009043142258709102, p_no: 0.001059515931458823, c_yes: 6, c_no: 3
taken, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
both, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
downplayed, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
house, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
must, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
parents, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
rumors, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
together, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
citizen., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
aware, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
please, p_yes: 0.0019575920263861135, p_no: 0.0038755051180603467, c_yes: 13, c_no: 11
essential, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
explain, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
likely, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
care, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
twitter, p_yes: 0.000603377711437995, p_no: 0.0007075172831336327, c_yes: 4, c_no: 2
early, p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
home,, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
thread, p_yes: 0.0001519729397886222, p_no: 0.0007075172831336327, c_yes: 1, c_no: 2
sick,, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
someone, p_yes: 0.0009043142258709102, p_no: 0.00035551863480844234, c_yes: 6, c_no: 1
..., p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
you, p_yes: 0.007675385800611502, p_no: 0.0165474564577672, c_yes: 51, c_no: 47
body, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
pl, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
sometimes, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
so,, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
playing, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
aiims,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
latest, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
tested?, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
said, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
without, p_yes: 0.000603377711437995, p_no: 0.0021155118764343943, c_yes: 4, c_no: 6
me, p_yes: 0.0010547824830873678, p_no: 0.0028195091730847752, c_yes: 7, c_no: 8
i've, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
story, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
nothing., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
saying, p_yes: 0.0001519729397886222, p_no: 0.0014115145797840135, c_yes: 1, c_no: 4
day,, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
down, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
road, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
others, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
first., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
in:, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
would, p_yes: 0.0010547824830873678, p_no: 0.0024675105247595848, c_yes: 7, c_no: 7
i'm, p_yes: 0.000603377711437995, p_no: 0.0021155118764343943, c_yes: 4, c_no: 6
means, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
millennials, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
rumours, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
with, p_yes: 0.006772576257312757, p_no: 0.010211480787913774, c_yes: 45, c_no: 29
lies, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
cancel, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
large, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
than, p_yes: 0.0021080602836025713, p_no: 0.0014115145797840135, c_yes: 14, c_no: 4
virus,, p_yes: 0.00030244119700507976, p_no: 0.001059515931458823, c_yes: 2, c_no: 3
communist, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
unless, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
talk, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
his, p_yes: 0.0024089967980354867, p_no: 0.0014115145797840135, c_yes: 16, c_no: 4
federal, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
didn't, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
governments, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
our, p_yes: 0.001807123769169656, p_no: 0.0038755051180603467, c_yes: 12, c_no: 11
cheap, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
novel, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
u.s., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
social, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
won’t, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
times, p_yes: 0.00030244119700507976, p_no: 0.0014115145797840135, c_yes: 2, c_no: 4
wonât, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
traveller, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
stopping, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
stake., p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
little, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
seriously, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
15, p_yes: 0.000603377711437995, p_no: 3.519986483251904e-06, c_yes: 4, c_no: 0
home., p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
accurate, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
covid-19., p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
can’t, p_yes: 0.0001519729397886222, p_no: 0.001059515931458823, c_yes: 1, c_no: 3
patient, p_yes: 0.000603377711437995, p_no: 0.00035551863480844234, c_yes: 4, c_no: 1
circulating, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
case, p_yes: 0.0015061872547367408, p_no: 0.0007075172831336327, c_yes: 10, c_no: 2
approach, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
years, p_yes: 0.0010547824830873678, p_no: 3.519986483251904e-06, c_yes: 7, c_no: 0
talking, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
society, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
symptom, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
front, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
the, p_yes: 0.0481513469918386, p_no: 0.04646734156540838, c_yes: 320, c_no: 132
might, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
china., p_yes: 0.0007538459686544526, p_no: 3.519986483251904e-06, c_yes: 5, c_no: 0
people,, p_yes: 0.0009043142258709102, p_no: 3.519986483251904e-06, c_yes: 6, c_no: 0
problem, p_yes: 0.0004529094542215374, p_no: 0.00035551863480844234, c_yes: 3, c_no: 1
ill, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
right, p_yes: 0.0009043142258709102, p_no: 0.0007075172831336327, c_yes: 6, c_no: 2
we're, p_yes: 0.0004529094542215374, p_no: 0.0007075172831336327, c_yes: 3, c_no: 2
very, p_yes: 0.00030244119700507976, p_no: 0.0007075172831336327, c_yes: 2, c_no: 2
@vp, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
had, p_yes: 0.001807123769169656, p_no: 0.0014115145797840135, c_yes: 12, c_no: 4
it, p_yes: 0.007374449286178588, p_no: 0.0066914943046618705, c_yes: 49, c_no: 19
cdc, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
list, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
could, p_yes: 0.0012052507403038256, p_no: 0.001059515931458823, c_yes: 8, c_no: 3
;, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
tiny, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
done, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
briefings, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
tiktok, p_yes: 1.5046825721645762e-06, p_no: 0.0007075172831336327, c_yes: 0, c_no: 2
globally, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
plastic, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
africa,, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
fight, p_yes: 0.0009043142258709102, p_no: 0.0014115145797840135, c_yes: 6, c_no: 4
gov't, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
this, p_yes: 0.011587560488239402, p_no: 0.01549146051279163, c_yes: 77, c_no: 44
can, p_yes: 0.003913679370200063, p_no: 0.004227503766385537, c_yes: 26, c_no: 12
precautions, p_yes: 0.0004529094542215374, p_no: 3.519986483251904e-06, c_yes: 3, c_no: 0
#coronavirusoutbreak,, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
son, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
think, p_yes: 0.0007538459686544526, p_no: 0.0014115145797840135, c_yes: 5, c_no: 4
doesnât, p_yes: 0.00030244119700507976, p_no: 0.00035551863480844234, c_yes: 2, c_no: 1
coronavirus:, p_yes: 0.00030244119700507976, p_no: 3.519986483251904e-06, c_yes: 2, c_no: 0
quiet, p_yes: 0.0001519729397886222, p_no: 0.00035551863480844234, c_yes: 1, c_no: 1
dr, p_yes: 1.5046825721645762e-06, p_no: 0.001059515931458823, c_yes: 0, c_no: 3
