#whatsapp, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/p8wguosrth, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
stopped, p_yes: 0.00033873013336514323, p_no: 0.000266904149698874, c_yes: 3, c_no: 1
coupons, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
consistent, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
led, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
month, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
trends, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
not, p_yes: 0.005740406678722909, p_no: 0.005287873302449969, c_yes: 51, c_no: 20
doesn't., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
behind, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hit, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
pag-mayaman,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
january?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
icu..., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nasty, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
paying, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
part, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
let, p_yes: 0.00045126506139343, p_no: 0.0005311656840541947, c_yes: 4, c_no: 2
nationality,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hoax,, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
malaysians,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
young,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
available., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
days., p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
weâll, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
teams, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/nzazrdyozf, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
states., p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
lets, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
😭❤, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
condition., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
lie, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
my, p_yes: 0.0024768937659025926, p_no: 0.004759350233739327, c_yes: 22, c_no: 18
thanks, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
fat, p_yes: 1.125349280282868e-06, p_no: 0.0007954272184095154, c_yes: 0, c_no: 3
big,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
asked, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
@juditvarga_eu, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
25th, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/harp4i1hqg, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
france, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
https://t.co/hauaetnjth, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
â¬ï¸, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
irregularities, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/ykjod4ronc, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
promised?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
immediately., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
insurers, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
'look,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
proceeds, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hurts, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
-@who, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
13, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
anti-inflammatory, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
sometimes, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
sis, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
reporters, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
something., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
masks., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
rwanda, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
scope, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
burger, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
fight, p_yes: 0.0006763349174500036, p_no: 0.0010596887527648362, c_yes: 6, c_no: 4
abortions??, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
rain, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
supporting, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
etc..., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
she’s, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
believing, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/xl7juczpmy, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
of., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
firm, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
racist, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
provide, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
distribution, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
try, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
â£241.37, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
icu., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
🇵🇰pakistan, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
education, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
speech, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
@thespybrief, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
compilation., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
helpful:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
different, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
employees,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
motherfuckers,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
confirms, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
slow, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
threatening, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
2/26, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
progression;, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
pakistan., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
shameful, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
sore, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
remain, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mouth, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
forever, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
&gt;&gt;33, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
st., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
private, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
celebrate, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mom., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
spreading, p_yes: 0.0007888698454782903, p_no: 2.6426153435532076e-06, c_yes: 7, c_no: 0
3/22:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
singapore, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tactics., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/mldfxzce2p, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
long, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
prioritizes, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
asian, p_yes: 0.00033873013336514323, p_no: 0.0005311656840541947, c_yes: 3, c_no: 2
busy, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/atnmrblxvy, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
isolation, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
rely, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/dox7n3e1gj, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
barrier, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
profit, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
jake, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
“fake, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/vbevaqy0xc, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
+91, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
stain, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/hpvjpn2fso, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
clarify?, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/7cy71sklvg, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
mutha, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
6., p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
queries, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
held, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
sr, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
cough,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
last, p_yes: 0.0009014047735065771, p_no: 0.000266904149698874, c_yes: 8, c_no: 1
friends, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
persisted, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
politics, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
requires, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
attacked, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
defense, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
network, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/brx40lq1du, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
70%, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
disrupt, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
three, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
threshold:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
1-2, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
city, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
100%, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
introduces, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
italy..., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
anong, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#mog☘️, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
iranian, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/jkijb08hav, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
dispatch, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/ffzj1le3n1, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
politics,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
spent, p_yes: 0.00033873013336514323, p_no: 2.6426153435532076e-06, c_yes: 3, c_no: 0
normal, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
amnesty, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
u.s., p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
consulted, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
mirror, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
kyari,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
coffee, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
kits, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
[tweeting, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
cornyn, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
grateful., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
same, p_yes: 0.0005637999894217168, p_no: 0.000266904149698874, c_yes: 5, c_no: 1
figliuzzi, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
bipartisan, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
doomed., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
#forcedisolation, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
w, p_yes: 0.0005637999894217168, p_no: 2.6426153435532076e-06, c_yes: 5, c_no: 0
w/o, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
stake., p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
https://t.co/8kdvumc9uw, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
detail, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
true?, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
respect, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
1%,', p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
measurement, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#justicefordrcarlos, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/vg1bgmu3ai, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
thanks,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
pop, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
self-awareness., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
country’s, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#trumpvirus, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
albums., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hamdan,, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
hold, p_yes: 0.00022619520533685643, p_no: 0.000266904149698874, c_yes: 2, c_no: 1
taxes., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/bhd4zdnuti, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
kst,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
233, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
they’re, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
excellent, p_yes: 1.125349280282868e-06, p_no: 0.0005311656840541947, c_yes: 0, c_no: 2
choices, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
nigeria, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
curious, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
playbook., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
and, p_yes: 0.01789417890577788, p_no: 0.017972426951505367, c_yes: 159, c_no: 68
31, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
took, p_yes: 0.00011366027730856965, p_no: 0.0007954272184095154, c_yes: 1, c_no: 3
nut, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/bw7wx1s9nm, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
dysfunction., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
america, p_yes: 0.00011366027730856965, p_no: 0.0005311656840541947, c_yes: 1, c_no: 2
bans, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#b52questions, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
#coronavirus:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tactics, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
turkey., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
blew, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
members, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
some, p_yes: 0.0007888698454782903, p_no: 0.0005311656840541947, c_yes: 7, c_no: 2
pm, p_yes: 0.00011366027730856965, p_no: 0.000266904149698874, c_yes: 1, c_no: 1
alert:, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
prisoner, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
65+, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
they, p_yes: 0.0028144985499874526, p_no: 0.0031737810276074026, c_yes: 25, c_no: 12
cover, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
wayward, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
test?, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
for..., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
anybody, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
https://t.co/etzeizz8o7, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
does, p_yes: 0.00045126506139343, p_no: 0.000266904149698874, c_yes: 4, c_no: 1
emptied, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
hong, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
💜💜💜💜💜💜💜, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tests., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
curb, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
facility., p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
funding, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
shutdown, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
worldwide., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
doing, p_yes: 0.00033873013336514323, p_no: 0.0005311656840541947, c_yes: 3, c_no: 2
conducting, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
false!, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
sports, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
worse, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
“down”, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
like, p_yes: 0.0016891492697045847, p_no: 0.0031737810276074026, c_yes: 15, c_no: 12
vegas, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
doh's, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
occur, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
tertiary, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/cmwiaieaz6, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
teleworking, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
3/12, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
thinking., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
attended, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
909, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
definitely, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
med,, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
https://t.co/s8tuwahqem, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
24-feb, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
die., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
prioritize, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
printed, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
taken, p_yes: 0.00022619520533685643, p_no: 2.6426153435532076e-06, c_yes: 2, c_no: 0
smallpox, p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
#china., p_yes: 0.00011366027730856965, p_no: 2.6426153435532076e-06, c_yes: 1, c_no: 0
bitch, p_yes: 1.125349280282868e-06, p_no: 0.001323950287120157, c_yes: 0, c_no: 5
https://t.co/12gyseyyxv, p_yes: 1.125349280282868e-06, p_no: 0.000266904149698874, c_yes: 0, c_no: 1
