reports, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
disregard, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
heard, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
russia, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
latest, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
recovered, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
secretary, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
thinking, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
least, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
at, p_yes: 0.004499696048632219, p_no: 0.003848557692307693
invite, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
already, p_yes: 0.0004875379939209726, p_no: 0.0009639423076923077
own, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
be, p_yes: 0.006566565349544072, p_no: 0.005290865384615385
wuhan, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
vp, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
sneeze, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
amazing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
please, p_yes: 0.0015817629179331308, p_no: 0.0028870192307692308
effort, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
may, p_yes: 0.0006091185410334346, p_no: 0.0004831730769230769
citizens, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
only, p_yes: 0.0014601823708206686, p_no: 0.001204326923076923
harvey, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
also, p_yes: 0.0008522796352583587, p_no: 0.0007235576923076923
air, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
texas, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
let, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
lung, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
close, p_yes: 0.0010954407294832826, p_no: 2.403846153846154e-06
admits, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
think, p_yes: 0.0006091185410334346, p_no: 0.001204326923076923
case, p_yes: 0.0015817629179331308, p_no: 0.0004831730769230769
reporting, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
blood, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
ht, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
treatment, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
child, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
month, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
social, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
can, p_yes: 0.003405471124620061, p_no: 0.0028870192307692308
all, p_yes: 0.003040729483282675, p_no: 0.004088942307692308
kind, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
might, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
allah, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
four, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
helped, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
claims, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
plastic, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
sars, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
stay, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
orders, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
pass, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
going, p_yes: 0.0009738601823708206, p_no: 0.0014447115384615384
body, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
politician, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
cpac, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
go, p_yes: 0.0012170212765957446, p_no: 0.0014447115384615384
alert, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
action, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
seen, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
healthcare, p_yes: 1.21580547112462e-06, p_no: 0.0009639423076923077
novel, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
damage, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
bihar, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
america, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
well, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
negative, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
far, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
pushing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
secpompeo, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
she, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
clean, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
masks, p_yes: 0.0007306990881458966, p_no: 0.00024278846153846155
warns, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
job, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
population, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
isolate, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
warned, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
excellent, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
blamed, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
phd, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
community, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
blame, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
supply, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
spray, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
saif, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
statement, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
fearmongering, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
donated, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
hes, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
potus, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
“hoax”, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
announcing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
problem, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
corona, p_yes: 0.005715501519756839, p_no: 0.009377403846153846
days, p_yes: 0.0017033434650455927, p_no: 2.403846153846154e-06
evidence, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
freaking, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
instructions, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
milan, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
gen, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
put, p_yes: 0.0009738601823708206, p_no: 0.0009639423076923077
like, p_yes: 0.0018249240121580546, p_no: 0.003127403846153846
korea, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
or, p_yes: 0.002675987841945289, p_no: 0.0028870192307692308
n, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
probably, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
beat, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
cause, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
into, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
continues, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
friends, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
person, p_yes: 0.0006091185410334346, p_no: 0.0004831730769230769
deadlier, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
classeswork, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
sources, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
receipts, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
via, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
top, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
spoke, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
season, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
africa, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
total, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
either, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
got, p_yes: 0.0007306990881458966, p_no: 0.0007235576923076923
ive, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
panic, p_yes: 0.0009738601823708206, p_no: 0.0009639423076923077
6, p_yes: 0.0004875379939209726, p_no: 0.0009639423076923077
upon, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
throat, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
voice, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
quiet, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
support, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
3, p_yes: 0.0013386018237082067, p_no: 0.0009639423076923077
many, p_yes: 0.0013386018237082067, p_no: 0.0009639423076923077
shit, p_yes: 1.21580547112462e-06, p_no: 0.0007235576923076923
keep, p_yes: 0.00012279635258358662, p_no: 0.001204326923076923
closed, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
asians, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
transmission, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
these, p_yes: 0.0009738601823708206, p_no: 0.0004831730769230769
makes, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
called, p_yes: 0.0009738601823708206, p_no: 0.00024278846153846155
up, p_yes: 0.0017033434650455927, p_no: 0.0021658653846153846
until, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
made, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
others, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
company, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
wanted, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
against, p_yes: 0.0010954407294832826, p_no: 0.0004831730769230769
its, p_yes: 0.002554407294832827, p_no: 0.0016850961538461538
duty, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
what, p_yes: 0.0018249240121580546, p_no: 0.003848557692307693
short, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
bill, p_yes: 0.0008522796352583587, p_no: 2.403846153846154e-06
getting, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
starting, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
allows, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
get, p_yes: 0.0018249240121580546, p_no: 0.0019254807692307692
folks, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
pay, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
coronaalert, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
battling, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
calling, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
times, p_yes: 0.00036595744680851063, p_no: 0.0009639423076923077
officials, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
save, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
care, p_yes: 0.0010954407294832826, p_no: 0.00024278846153846155
i, p_yes: 0.006080243161094225, p_no: 0.008896634615384615
sharing, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
political, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
risk, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
end, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
police, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
admitted, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
serious, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
found, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
together, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
send, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
circulating, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
enable, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
severe, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
comment, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
coronavirusoutbreak, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
racism, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
woman, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
ali, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
pandemic, p_yes: 0.0004875379939209726, p_no: 0.0004831730769230769
pl, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
incubation, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
administration, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
new, p_yes: 0.002189665653495441, p_no: 0.0004831730769230769
delhi, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
drtedros, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
ron, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
prevention, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
desist, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
food, p_yes: 1.21580547112462e-06, p_no: 0.0009639423076923077
goes, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
foreign, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
lets, p_yes: 0.0002443768996960486, p_no: 0.0007235576923076923
houseforeign, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
before, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
refusing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
providing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
not, p_yes: 0.006444984802431611, p_no: 0.00505048076923077
out, p_yes: 0.0012170212765957446, p_no: 0.003127403846153846
won’t, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
are, p_yes: 0.006323404255319149, p_no: 0.005531250000000001
don’t, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
of, p_yes: 0.021885714285714286, p_no: 0.012021634615384615
na, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
did, p_yes: 0.0012170212765957446, p_no: 0.0004831730769230769
arrest, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
spread, p_yes: 0.003648632218844985, p_no: 0.001204326923076923
ill, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
isn’t, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
areas, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
reported, p_yes: 0.0007306990881458966, p_no: 2.403846153846154e-06
taken, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
tests, p_yes: 0.0006091185410334346, p_no: 0.0004831730769230769
contact, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
incompetence, p_yes: 0.0002443768996960486, p_no: 0.0004831730769230769
wrong, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
day, p_yes: 0.0006091185410334346, p_no: 0.001204326923076923
“the, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
face, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
aggressive, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
crisis, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
scare, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
im, p_yes: 0.0004875379939209726, p_no: 0.0014447115384615384
messages, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
dynasty, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
happy, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
you’re, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
following, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
trumps, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
number, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
focus, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
dangerous, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
no, p_yes: 0.003040729483282675, p_no: 0.0014447115384615384
a, p_yes: 0.022007294832826745, p_no: 0.019473557692307693
paper, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
netanyahu, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
“i, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
wondering, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
each, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
soon, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
needs, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
reporters, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
enemy, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
56, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
them, p_yes: 0.0007306990881458966, p_no: 0.0026466346153846154
since, p_yes: 0.0010954407294832826, p_no: 2.403846153846154e-06
protective, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
known, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
disinformation, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
avoid, p_yes: 0.00036595744680851063, p_no: 0.0004831730769230769
an, p_yes: 0.002554407294832827, p_no: 0.0026466346153846154
ppl, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
focusing, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
tweeting, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
coronavirus, p_yes: 0.011916109422492402, p_no: 0.006973557692307693
uk, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
period, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
desire, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
tapper, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
misinformation, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
future, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
been, p_yes: 0.0018249240121580546, p_no: 0.001204326923076923
hoax, p_yes: 0.0015817629179331308, p_no: 0.0014447115384615384
patna, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
31, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
briefing, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
science, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
on, p_yes: 0.008390273556231004, p_no: 0.006973557692307693
details, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
breath, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
🇺🇸, p_yes: 1.21580547112462e-06, p_no: 0.001204326923076923
returning, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
shortness, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
could, p_yes: 0.0009738601823708206, p_no: 0.0007235576923076923
spreading, p_yes: 0.0009738601823708206, p_no: 2.403846153846154e-06
iran, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
60s, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
north, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
look, p_yes: 0.0004875379939209726, p_no: 0.0007235576923076923
quarantines, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
w, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
finding, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
traveller, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
7, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
worse, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
donald, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
link, p_yes: 0.0009738601823708206, p_no: 0.0009639423076923077
ass, p_yes: 1.21580547112462e-06, p_no: 0.001204326923076923
15, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
hence, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
yes, p_yes: 0.00012279635258358662, p_no: 0.0004831730769230769
today, p_yes: 0.0010954407294832826, p_no: 0.001204326923076923
originated, p_yes: 0.0004875379939209726, p_no: 0.00024278846153846155
justice, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
because, p_yes: 0.0015817629179331308, p_no: 0.0016850961538461538
other, p_yes: 0.0015817629179331308, p_no: 0.0004831730769230769
mostly, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
were, p_yes: 0.0018249240121580546, p_no: 0.0004831730769230769
kills, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
know, p_yes: 0.0015817629179331308, p_no: 0.0021658653846153846
early, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
make, p_yes: 0.0010954407294832826, p_no: 0.0004831730769230769
selling, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
hoax”, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
outbreak, p_yes: 0.0012170212765957446, p_no: 2.403846153846154e-06
if, p_yes: 0.003040729483282675, p_no: 0.004088942307692308
will, p_yes: 0.003283890577507599, p_no: 0.00240625
another, p_yes: 0.0006091185410334346, p_no: 0.00024278846153846155
heart, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
movie, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
deaths, p_yes: 0.0008522796352583587, p_no: 0.00024278846153846155
realdonaldtrump, p_yes: 0.001946504559270517, p_no: 0.0014447115384615384
first, p_yes: 0.0014601823708206686, p_no: 0.001204326923076923
directions, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
mom, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
trip, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
pidi, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
provide, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
there, p_yes: 0.002554407294832827, p_no: 0.0014447115384615384
sure, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
stuff, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
didn’t, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
south, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
who, p_yes: 0.003648632218844985, p_no: 0.0026466346153846154
washing, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
photo, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
compilation, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
pm, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
i’ve, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
paul, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
unless, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
youre, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
seasonal, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
fucking, p_yes: 0.00036595744680851063, p_no: 0.0007235576923076923
part, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
including, p_yes: 0.0004875379939209726, p_no: 2.403846153846154e-06
love, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
those, p_yes: 0.0004875379939209726, p_no: 0.00240625
5, p_yes: 0.0007306990881458966, p_no: 0.0004831730769230769
congress, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
spain, p_yes: 0.0002443768996960486, p_no: 0.00024278846153846155
fun, p_yes: 0.00036595744680851063, p_no: 0.00024278846153846155
testing, p_yes: 0.0020680851063829787, p_no: 0.0014447115384615384
public, p_yes: 0.0013386018237082067, p_no: 0.0009639423076923077
lungs, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
went, p_yes: 0.0006091185410334346, p_no: 2.403846153846154e-06
whole, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
join, p_yes: 0.00012279635258358662, p_no: 0.0007235576923076923
celebrities, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
“hey, p_yes: 1.21580547112462e-06, p_no: 0.0004831730769230769
fraud, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
peddled, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
then, p_yes: 0.0008522796352583587, p_no: 0.0009639423076923077
so, p_yes: 0.001946504559270517, p_no: 0.0028870192307692308
things, p_yes: 0.00036595744680851063, p_no: 2.403846153846154e-06
announcement, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
large, p_yes: 0.00012279635258358662, p_no: 0.00024278846153846155
rwanda, p_yes: 0.0002443768996960486, p_no: 2.403846153846154e-06
